INDEX,OFNS_DESC,Latitude,Longitude,CMPLNT_FR_TM
5220664,MURDER & NON-NEGL. MANSLAUGHTER,40.708227855,-73.912862387,23:26:00
5221381,MURDER & NON-NEGL. MANSLAUGHTER,40.693140904,-73.945859731,07:24:00
5222305,MURDER & NON-NEGL. MANSLAUGHTER,40.732876229,-73.860333942,18:30:00
5222338,MURDER & NON-NEGL. MANSLAUGHTER,40.657743089,-73.909136741,00:42:00
5222747,MURDER & NON-NEGL. MANSLAUGHTER,40.672585871,-73.873261458,09:35:00
5222923,MURDER & NON-NEGL. MANSLAUGHTER,40.662518015,-73.927011804,00:37:00
5223664,MURDER & NON-NEGL. MANSLAUGHTER,40.641068098,-73.962469806,17:45:00
5223837,MURDER & NON-NEGL. MANSLAUGHTER,40.820663494,-73.956385411,14:23:00
5226643,MURDER & NON-NEGL. MANSLAUGHTER,40.693702669,-73.780915483,04:40:00
5227745,MURDER & NON-NEGL. MANSLAUGHTER,40.819718657,-73.942389497,13:50:00
5230583,MURDER & NON-NEGL. MANSLAUGHTER,40.671168243,-73.909688025,15:11:00
5231699,MURDER & NON-NEGL. MANSLAUGHTER,40.855961786,-73.839795807,20:56:00
5232209,MURDER & NON-NEGL. MANSLAUGHTER,40.830798914,-73.826948796,11:00:00
5233064,MURDER & NON-NEGL. MANSLAUGHTER,40.686395734,-73.949095931,22:17:00
5240999,MURDER & NON-NEGL. MANSLAUGHTER,40.672674098,-73.861689307,23:53:00
5244882,MURDER & NON-NEGL. MANSLAUGHTER,40.726529377,-73.734864538,23:42:00
5244910,MURDER & NON-NEGL. MANSLAUGHTER,40.675309538,-73.788052771,22:12:00
5249060,MURDER & NON-NEGL. MANSLAUGHTER,40.653674996,-73.96278707,19:40:00
5250320,MURDER & NON-NEGL. MANSLAUGHTER,40.673324484,-73.91539184,22:23:00
5251111,MURDER & NON-NEGL. MANSLAUGHTER,40.719840334,-73.962400198,01:28:00
5252434,MURDER & NON-NEGL. MANSLAUGHTER,40.663341242,-73.96017925,04:14:00
5252449,MURDER & NON-NEGL. MANSLAUGHTER,40.663133397,-73.962432161,03:49:00
5253803,MURDER & NON-NEGL. MANSLAUGHTER,40.640366106,-73.890520884,01:00:00
5254229,MURDER & NON-NEGL. MANSLAUGHTER,40.70284629,-73.812428901,21:25:00
5254358,MURDER & NON-NEGL. MANSLAUGHTER,40.832941761,-73.935432593,18:23:00
5254844,MURDER & NON-NEGL. MANSLAUGHTER,40.675646399,-73.927184904,04:02:00
5254845,MURDER & NON-NEGL. MANSLAUGHTER,40.675646399,-73.927184904,04:02:00
5255568,MURDER & NON-NEGL. MANSLAUGHTER,40.628089722,-73.946103435,19:30:00
5256808,MURDER & NON-NEGL. MANSLAUGHTER,40.674986972,-73.945849231,22:27:00
5257226,MURDER & NON-NEGL. MANSLAUGHTER,40.615912856,-73.920737805,12:29:00
5258103,MURDER & NON-NEGL. MANSLAUGHTER,40.710739715,-73.803872427,21:15:00
5261371,MURDER & NON-NEGL. MANSLAUGHTER,40.639163716,-73.994427347,12:20:00
5263081,MURDER & NON-NEGL. MANSLAUGHTER,40.673341037,-73.932083027,03:40:00
5263159,MURDER & NON-NEGL. MANSLAUGHTER,40.69726035,-73.977462042,02:23:00
5263174,MURDER & NON-NEGL. MANSLAUGHTER,40.643506043,-73.902615955,02:11:00
5271520,MURDER & NON-NEGL. MANSLAUGHTER,40.629597831,-73.942942693,01:15:00
5272938,MURDER & NON-NEGL. MANSLAUGHTER,40.595792272,-73.984064191,01:33:00
5273422,MURDER & NON-NEGL. MANSLAUGHTER,40.819778814,-73.936720733,23:44:00
5274983,MURDER & NON-NEGL. MANSLAUGHTER,40.689567811,-73.832478977,18:07:00
5275081,MURDER & NON-NEGL. MANSLAUGHTER,40.84711223,-73.91747681,16:13:00
5275385,MURDER & NON-NEGL. MANSLAUGHTER,40.836266064,-73.911328663,21:20:00
5279181,MURDER & NON-NEGL. MANSLAUGHTER,40.67459999,-73.930574822,20:14:00
5279252,MURDER & NON-NEGL. MANSLAUGHTER,40.659114761,-73.923216654,22:24:00
5282832,MURDER & NON-NEGL. MANSLAUGHTER,40.819596981,-73.918186548,04:38:00
5282959,MURDER & NON-NEGL. MANSLAUGHTER,40.689819067,-73.831612927,01:59:00
5282965,MURDER & NON-NEGL. MANSLAUGHTER,40.640790702,-73.932141379,01:50:00
5283814,MURDER & NON-NEGL. MANSLAUGHTER,40.67941151,-73.858592765,13:45:00
5283815,MURDER & NON-NEGL. MANSLAUGHTER,40.67941151,-73.858592765,13:45:00
5285491,MURDER & NON-NEGL. MANSLAUGHTER,40.690654842,-73.908042562,00:51:00
5286526,MURDER & NON-NEGL. MANSLAUGHTER,40.818407371,-73.887507503,13:29:00
5288346,MURDER & NON-NEGL. MANSLAUGHTER,40.674993193,-73.915234704,00:31:00
5289715,MURDER & NON-NEGL. MANSLAUGHTER,40.869301715,-73.889511247,01:08:00
5290340,MURDER & NON-NEGL. MANSLAUGHTER,40.805182009,-73.9186305,23:43:00
5292395,MURDER & NON-NEGL. MANSLAUGHTER,40.660436625,-73.939773355,09:15:00
5292644,MURDER & NON-NEGL. MANSLAUGHTER,40.674063439,-73.912535702,01:30:00
5295891,MURDER & NON-NEGL. MANSLAUGHTER,40.668403867,-73.869286157,20:21:00
5295930,MURDER & NON-NEGL. MANSLAUGHTER,40.623960368,-73.938282477,19:50:00
5296581,MURDER & NON-NEGL. MANSLAUGHTER,40.64173826,-74.075678037,01:46:00
5297067,MURDER & NON-NEGL. MANSLAUGHTER,40.649091472,-73.955776823,22:18:00
5297861,MURDER & NON-NEGL. MANSLAUGHTER,40.750294976,-73.822805246,12:00:00
5297923,MURDER & NON-NEGL. MANSLAUGHTER,40.836843178,-73.850809958,02:05:00
5298576,MURDER & NON-NEGL. MANSLAUGHTER,40.65381516,-73.853205037,23:39:00
5298814,MURDER & NON-NEGL. MANSLAUGHTER,40.842328579,-73.885739479,17:40:00
5299362,MURDER & NON-NEGL. MANSLAUGHTER,40.68469984,-73.924744826,01:08:00
5300067,MURDER & NON-NEGL. MANSLAUGHTER,40.736984449,-73.809998125,19:15:00
5302973,MURDER & NON-NEGL. MANSLAUGHTER,40.738838819,-73.926700862,07:20:00
5303200,MURDER & NON-NEGL. MANSLAUGHTER,40.681803475,-73.923789039,01:20:00
5306350,MURDER & NON-NEGL. MANSLAUGHTER,40.764463103,-73.831774379,23:40:00
5307229,MURDER & NON-NEGL. MANSLAUGHTER,40.67013835,-73.908925194,04:03:00
5307415,MURDER & NON-NEGL. MANSLAUGHTER,40.67013835,-73.908925194,04:03:00
5309369,MURDER & NON-NEGL. MANSLAUGHTER,40.692389705,-73.793764553,21:37:00
